OBJECTID,Parcel_AGAPPID_csv_AGAPPL,DISSOLVE_landuse_parcel_union_LAND_USE,SUM_SUM_DISSOLVE_landuse_parcel_union_SUM_ACREAGE,Shape_Length,Shape_Area
791,1815,Conservation Program Designated,11.29,3439.722785,491790.9156
792,1818,Conservation Program Designated,3.34,7748.280343,145491.1366
793,1827,Conservation Program Designated,1.01,2459.252963,43996.88103
794,1832,Conservation Program Designated,45.601,12514.72746,1986381.134
795,1838,Conservation Program Designated,2.6,3387.789028,113257.4313
796,1851,Conservation Program Designated,0.93,4327.545978,40511.54115
797,1854,Conservation Program Designated,6.2,9628.113543,270070.6312
798,1857,Conservation Program Designated,47.53,10667.31027,2070407.914
799,1860,Conservation Program Designated,0.38,960.3385804,16553.1808
800,1863,Conservation Program Designated,4.17,3405.277765,181629.6546
801,1868,Conservation Program Designated,5.6,8004.570082,243938.1292
802,1869,Conservation Program Designated,21.341,48790.62947,929606.0095
803,1872,Conservation Program Designated,4.19,9934.052171,182522.2935
804,1873,Conservation Program Designated,1.64,1423.522646,71438.40151
805,1879,Conservation Program Designated,3.1,4445.235512,135048.1181
806,1881,Conservation Program Designated,7.44,10410.67904,324088.7336
807,1882,Conservation Program Designated,8.44,6716.580109,367648.2324
808,1883,Conservation Program Designated,46.17,15076.3954,2011165.156
809,1888,Conservation Program Designated,2.48,6177.361345,108029.3536
810,1889,Conservation Program Designated,2.3,6186.691781,100192.0439
811,1901,Conservation Program Designated,1.12,2497.075626,48786.97603
812,1904,Conservation Program Designated,13.54,9152.170441,589802.5395
813,1910,Conservation Program Designated,22.08,10095.16707,961806.1002
814,1913,Conservation Program Designated,5.301,14691.62759,230923.5151
815,1914,Conservation Program Designated,8.36,8006.256774,364162.6113
816,1920,Conservation Program Designated,5.6,5228.25816,243935.6116
817,1922,Conservation Program Designated,8.9,2772.272861,387683.9648
818,1930,Conservation Program Designated,2.5,4254.18501,108901.6853
819,1940,Conservation Program Designated,61.339,10897.4136,2671922.497
820,1951,Conservation Program Designated,0.5,1951.593312,21780.03194
821,1955,Conservation Program Designated,3.8,10133.70538,165534.6651
822,1963,Conservation Program Designated,2.33,5627.924136,101505.836
823,1965,Conservation Program Designated,14.56,12741.67252,634237.0683
824,1968,Conservation Program Designated,105.703,69120.60013,4604395.226
825,1972,Conservation Program Designated,0,476.4719356,0.695760501
826,1973,Conservation Program Designated,4.2,13499.87489,182965.9009
827,1984,Conservation Program Designated,0.16,993.2527522,6974.858522
828,1987,Conservation Program Designated,19.7,6721.513524,858136.0838
829,1989,Conservation Program Designated,11.23,10906.76586,489183.213
